time,seconds_elapsed,dBFS
1684213382134000000,41.72900024414062,-47.90250778198242
1684213382234000000,41.82899975585938,-50.22681427001953
1684213382339000000,41.934,-42.90962600708008
1684213382443000000,42.038,-43.08357620239258
1684213382545000000,42.14,-45.191314697265625
1684213382650000000,42.244999755859375,-47.5938835144043
1684213382756000000,42.351,-49.90653610229492
1684213382860000000,42.455,-49.071624755859375
1684213382966000000,42.56100024414062,-45.895328521728516
1684213383067000000,42.662,-48.85620880126953
1684213383173000000,42.768,-49.846519470214844
1684213383274000000,42.86899975585938,-52.110286712646484
1684213383379000000,42.974,-51.574256896972656
1684213383485000000,43.08,-52.9722900390625
1684213383584000000,43.179,-48.54761505126953
1684213383690000000,43.284999755859374,-48.33747863769531
1684213383794000000,43.38899975585937,-48.24610137939453
1684213383898000000,43.49299975585937,-46.02561569213867
1684213384000000000,43.595,-48.200439453125
1684213384104000000,43.699,-50.93522262573242
1684213384210000000,43.80499975585938,-52.78608703613281
1684213384314000000,43.90899975585938,-52.848793029785156
1684213384419000000,44.014,-54.333011627197266
1684213384522000000,44.116999755859375,-51.92756652832031
1684213384627000000,44.222,-48.69981384277344
1684213384732000000,44.327,-50.91880798339844
1684213384834000000,44.42899975585937,-52.31127166748047
1684213384934000000,44.529000244140626,-52.68903350830078
1684213385040000000,44.635,-52.76579666137695
1684213385144000000,44.739,-52.022117614746094
1684213385249000000,44.844,-52.920814514160156
1684213385352000000,44.947,-54.043922424316406
1684213385458000000,45.052999755859375,-51.23192596435547
1684213385562000000,45.156999755859374,-52.38336181640625
1684213385667000000,45.262,-53.3191032409668
1684213385772000000,45.367,-52.814544677734375
1684213385878000000,45.47300024414063,-54.09431457519531
1684213385982000000,45.57700024414063,-52.66291809082031
1684213386088000000,45.683,-54.18098831176758
1684213386192000000,45.787,-55.55583190917969
1684213386293000000,45.888,-48.06642150878906
1684213386397000000,45.992,-49.399925231933594
1684213386500000000,46.095,-50.807735443115234
1684213386600000000,46.195,-48.791996002197266
1684213386703000000,46.298,-47.243255615234375
1684213386809000000,46.404,-50.44417190551758
1684213386910000000,46.505000244140625,-49.506099700927734
1684213387011000000,46.606,-51.21957015991211
1684213387114000000,46.708999755859374,-50.84159469604492
1684213387215000000,46.81,-51.08753967285156
1684213387320000000,46.915,-52.77300262451172
1684213387425000000,47.02,-48.52262496948242
1684213387529000000,47.124,-49.58119201660156
1684213387634000000,47.22899975585938,-51.79185485839844
1684213387739000000,47.334,-47.87996292114258
1684213387845000000,47.44,-50.461517333984375
1684213387950000000,47.545000244140624,-51.28855895996094
1684213388051000000,47.646,-48.912452697753906
1684213388153000000,47.748,-50.57225036621094
1684213388258000000,47.85299975585937,-49.88557434082031
1684213388362000000,47.95699975585938,-47.26496887207031
1684213388466000000,48.06099975585938,-47.35627746582031
1684213388569000000,48.164,-46.64445495605469
