time,seconds_elapsed,dBFS
1684212950988000000,37.104,-38.12395477294922
1684212951093000000,37.209,-36.90451431274414
1684212951198000000,37.31400024414062,-37.79293441772461
1684212951303000000,37.419,-37.55520248413086
1684212951406000000,37.52200024414063,-36.804290771484375
1684212951511000000,37.627,-35.140628814697266
1684212951616000000,37.732,-37.70423889160156
1684212951722000000,37.83799975585937,-40.142578125
1684212951827000000,37.943,-44.52611541748047
1684212951932000000,38.048,-46.585487365722656
1684212952037000000,38.153,-48.127166748046875
1684212952142000000,38.258000244140625,-47.94880294799805
1684212952244000000,38.36,-47.831520080566406
1684212952350000000,38.46600024414062,-49.272544860839844
1684212952451000000,38.567,-44.263275146484375
1684212952556000000,38.672,-45.80450439453125
1684212952661000000,38.777,-44.45248794555664
1684212952766000000,38.88200024414063,-47.11820983886719
1684212952869000000,38.985,-48.73291015625
1684212952975000000,39.091,-49.82422637939453
1684212953078000000,39.194000244140625,-51.116981506347656
1684212953183000000,39.299,-48.86881637573242
1684212953287000000,39.403,-51.618019104003906
1684212953393000000,39.509,-52.48218536376953
1684212953498000000,39.613999755859375,-51.95568084716797
1684212953599000000,39.715,-46.96357345581055
1684212953704000000,39.82,-42.819271087646484
1684212953807000000,39.923,-43.16499710083008
1684212953911000000,40.027,-43.021766662597656
1684212954016000000,40.132,-46.955291748046875
1684212954121000000,40.237,-46.13416290283203
1684212954226000000,40.341999755859376,-49.256587982177734
1684212954331000000,40.447,-41.37148666381836
1684212954432000000,40.548,-36.72654724121094
1684212954535000000,40.651,-37.23998260498047
1684212954637000000,40.753,-38.824466705322266
1684212954743000000,40.859,-39.211273193359375
1684212954845000000,40.961,-41.052433013916016
1684212954948000000,41.064,-37.29597091674805
1684212955052000000,41.168,-39.277645111083984
1684212955157000000,41.273,-39.61247253417969
1684212955262000000,41.37800024414062,-40.747676849365234
1684212955367000000,41.483,-41.49137878417969
1684212955472000000,41.588,-39.08319854736328
1684212955577000000,41.693,-33.889591217041016
1684212955677000000,41.793,-37.05677032470703
1684212955781000000,41.897,-41.32421112060547
1684212955886000000,42.002000244140625,-43.830902099609375
1684212955991000000,42.107,-47.08816909790039
1684212956095000000,42.211,-48.71807861328125
1684212956200000000,42.316,-51.10136413574219
1684212956305000000,42.421,-52.660194396972656
1684212956409000000,42.525,-51.07442855834961
1684212956510000000,42.62600024414063,-49.69076919555664
1684212956615000000,42.731,-46.942962646484375
1684212956720000000,42.836,-48.979156494140625
1684212956825000000,42.941,-51.88035583496094
1684212956930000000,43.04599975585938,-50.006778717041016
1684212957035000000,43.151,-52.38837432861328
1684212957140000000,43.256,-53.82114028930664
1684212957244000000,43.36,-39.43342590332031
1684212957345000000,43.461,-42.448787689208984
1684212957449000000,43.565,-45.152305603027344
1684212957555000000,43.671,-39.434417724609375
1684212957660000000,43.776,-43.31922912597656
1684212957764000000,43.88,-45.6562385559082
1684212957869000000,43.985,-40.41973876953125
1684212957974000000,44.090000244140626,-41.290523529052734
